formula,band_gap,e_above_hull,Z_mean,Z_std,Z_range,EN_mean,EN_std,EN_range,EN_max,EN_min,Radius_mean,Radius_std,Radius_range,Mass_mean,Mass_std,IE_mean,IE_std,N_elements,n_alkali,n_alkaline_earth,n_transition,n_halogen,n_chalcogen,metal_ratio,EN_diff_max,A_site_count,B_site_count,X_site_count,A_to_B_ratio,X_to_B_ratio,tolerance_factor_approx
Ba2YBr7,3.8664,0.021259948500004,39.6,8.284926070883193,21.0,2.372,0.9022172687329809,2.07,2.96,0.89,1.415,0.41475896614780977,1.0,92.28878499999999,22.67599207633538,9.93372592,2.8835890516730687,3.0,0.0,1.0,1.0,1.0,0.0,0.6666666666666666,2.07,8.0,4.0,28.0,2.0,7.0,0.7910008060730869
Ba2YBr7,3.2396,0.087938286500003,39.6,8.284926070883193,21.0,2.372,0.9022172687329809,2.07,2.96,0.89,1.415,0.41475896614780977,1.0,92.28878499999999,22.67599207633538,9.93372592,2.8835890516730687,3.0,0.0,1.0,1.0,1.0,0.0,0.6666666666666666,2.07,4.0,2.0,14.0,2.0,7.0,0.7910008060730869
Ba2YBr7,3.358,0.097711450000003,39.6,8.284926070883193,21.0,2.372,0.9022172687329809,2.07,2.96,0.89,1.415,0.41475896614780977,1.0,92.28878499999999,22.67599207633538,9.93372592,2.8835890516730687,3.0,0.0,1.0,1.0,1.0,0.0,0.6666666666666666,2.07,8.0,4.0,28.0,2.0,7.0,0.7910008060730869
Ba2YBr7,3.6882,0.055699361250004006,39.6,8.284926070883193,21.0,2.372,0.9022172687329809,2.07,2.96,0.89,1.415,0.41475896614780977,1.0,92.28878499999999,22.67599207633538,9.93372592,2.8835890516730687,3.0,0.0,1.0,1.0,1.0,0.0,0.6666666666666666,2.07,8.0,4.0,28.0,2.0,7.0,0.7910008060730869
Ba2YBr7,3.9703,0.044201136500004005,39.6,8.284926070883193,21.0,2.372,0.9022172687329809,2.07,2.96,0.89,1.415,0.41475896614780977,1.0,92.28878499999999,22.67599207633538,9.93372592,2.8835890516730687,3.0,0.0,1.0,1.0,1.0,0.0,0.6666666666666666,2.07,8.0,4.0,28.0,2.0,7.0,0.7910008060730869
Ba2YI7,3.0869,0.061625396750001005,52.199999999999996,4.5563142999578075,17.0,2.162,0.765464564823219,1.77,2.66,0.89,1.5899999999999999,0.3039736830714133,0.75,125.189114,12.773914525464933,8.979940919999999,2.262425193452412,3.0,0.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.77,8.0,4.0,28.0,2.0,7.0,0.784446585378826
Ba2YI7,2.6999,0.07262393025000001,52.199999999999996,4.5563142999578075,17.0,2.162,0.765464564823219,1.77,2.66,0.89,1.5899999999999999,0.3039736830714133,0.75,125.189114,12.773914525464933,8.979940919999999,2.262425193452412,3.0,0.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.77,8.0,4.0,28.0,2.0,7.0,0.784446585378826
Ba2YI7,2.5321,0.091199278750001,52.199999999999996,4.5563142999578075,17.0,2.162,0.765464564823219,1.77,2.66,0.89,1.5899999999999999,0.3039736830714133,0.75,125.189114,12.773914525464933,8.979940919999999,2.262425193452412,3.0,0.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.77,8.0,4.0,28.0,2.0,7.0,0.784446585378826
Ba2YI7,2.899999999999999,0.049243260750000004,52.199999999999996,4.5563142999578075,17.0,2.162,0.765464564823219,1.77,2.66,0.89,1.5899999999999999,0.3039736830714133,0.75,125.189114,12.773914525464933,8.979940919999999,2.262425193452412,3.0,0.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.77,8.0,4.0,28.0,2.0,7.0,0.784446585378826
Ba2YI7,2.8766,0.049230662000001,52.199999999999996,4.5563142999578075,17.0,2.162,0.765464564823219,1.77,2.66,0.89,1.5899999999999999,0.3039736830714133,0.75,125.189114,12.773914525464933,8.979940919999999,2.262425193452412,3.0,0.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.77,8.0,4.0,28.0,2.0,7.0,0.784446585378826
